Model,Threshold,Accuracy,BalancedAccuracy,Precision,Recall,Specificity,NPV,F1-score,AUC
Baseline (No GAN),0.5199999999999999,0.6071428571428571,0.4722222222222222,0.0,0.0,0.9444444444444444,0.6296296296296297,0.0,0.48888888888888893
GAN-Augmented,0.5349999999999999,0.6071428571428571,0.6944444444444444,0.47619047619047616,1.0,0.3888888888888889,1.0,0.6451612903225806,0.6222222222222222
Ensemble (Baseline + GAN),0.5249999999999999,0.5,0.6111111111111112,0.4166666666666667,1.0,0.2222222222222222,1.0,0.5882352941176471,0.5388888888888889
