Model,Mode,Threshold,Accuracy,BalancedAccuracy,Precision,Recall,Specificity,NPV,F1-score
Baseline,screening,0.5199999999999999,0.6071428571428571,0.4722222222222222,0.0,0.0,0.9444444444444444,0.6296296296296297,0.0
Baseline,balanced,0.5199999999999999,0.6071428571428571,0.4722222222222222,0.0,0.0,0.9444444444444444,0.6296296296296297,0.0
Baseline,specificity,0.5199999999999999,0.6071428571428571,0.4722222222222222,0.0,0.0,0.9444444444444444,0.6296296296296297,0.0
GAN-Augmented,screening,0.5349999999999999,0.6071428571428571,0.6944444444444444,0.47619047619047616,1.0,0.3888888888888889,1.0,0.6451612903225806
GAN-Augmented,balanced,0.5349999999999999,0.6071428571428571,0.6944444444444444,0.47619047619047616,1.0,0.3888888888888889,1.0,0.6451612903225806
GAN-Augmented,specificity,0.5399999999999999,0.5714285714285714,0.4666666666666667,0.25,0.1,0.8333333333333334,0.625,0.14285714285714288
Ensemble,screening,0.5249999999999999,0.5,0.6111111111111112,0.4166666666666667,1.0,0.2222222222222222,1.0,0.5882352941176471
Ensemble,balanced,0.5249999999999999,0.5,0.6111111111111112,0.4166666666666667,1.0,0.2222222222222222,1.0,0.5882352941176471
Ensemble,specificity,0.5299999999999999,0.6428571428571429,0.5222222222222223,0.5,0.1,0.9444444444444444,0.6538461538461539,0.16666666666666669
